节点code,节点类型,节点名称,证券代码,生效时间,失效时间
1689859,公司,日照市凌云海糖业集团有限公司,,2026-07-28,
1695050,公司,河南龙丰实业股份有限公司,,2026-07-28,
1699369,公司,湖北华丽食品股份有限公司,,2026-07-28,
1700240,公司,南京沪江复合材料股份有限公司,,2026-07-28,
1700311,公司,上海富仓智能供应链服务有限公司,,2026-07-28,
1703057,公司,浙江茗皇天然食品开发股份有限公司,,2026-07-28,
1703077,公司,内蒙古小尾羊餐饮连锁股份有限公司,,2026-07-28,
1703133,公司,山东即墨黄酒厂有限公司,,2026-07-28,
1703144,公司,大闽食品(漳州)有限公司,,2026-07-28,
1703438,公司,广西博宣食品有限公司,,2026-07-28,
1710568,公司,黄骅市鑫茂肉类食品有限公司,,2026-07-28,
1715671,公司,广东金冠科技股份有限公司,,2026-07-28,
1719190,公司,江苏科地现代农业有限公司,,2026-07-28,
1726901,公司,湖北李时珍生物科技股份有限公司,,2026-07-28,
1727596,公司,河北中北商贸股份有限公司,,2026-07-28,
1730385,公司,深圳市中海通物流股份有限公司,,2026-07-28,
1730797,公司,四川早白尖茶业有限公司,,2026-07-28,
1731025,公司,河北千喜鹤饮食股份有限公司,,2026-07-28,
1731228,公司,绍兴御茶村茶业有限公司,,2026-07-28,
1732773,公司,河北快运集团有限公司,,2026-07-28,
1735456,公司,云南乍甸乳业有限责任公司,,2026-07-28,
1736088,公司,上海凯诘电子商务股份有限公司,,2026-07-28,
1736208,公司,东鹏饮料(集团)股份有限公司,,2026-07-28,
1736380,公司,重庆旺峰肉业股份有限公司,,2026-07-28,
1736639,公司,青岛天璇物流股份有限公司,,2026-07-28,
1737470,公司,苏州松鹤楼饮食文化有限公司,,2026-07-28,
1737662,公司,北京九润源电子商务有限公司,,2026-07-28,
1739681,公司,深圳市鸿益达供应链股份有限公司,,2026-07-28,
1740866,公司,深圳市凯东源现代物流股份有限公司,,2026-07-28,
1741704,公司,厦门吉宏科技股份有限公司,,2026-07-28,
1744020,公司,深圳市金谷园实业发展有限公司,,2026-07-28,
1748949,公司,南京江宁滨江物流有限公司,,2026-07-28,
1750135,公司,河南飞天生物科技股份有限公司,,2026-07-28,
1751446,公司,广东原尚物流股份有限公司,,2026-07-28,
1751449,公司,北京国联视讯信息技术股份有限公司,,2026-07-28,
1751855,公司,河南佳源乳业股份有限公司,,2026-07-28,
1759652,公司,重庆市原卤食品有限公司,,2026-07-28,
1760549,公司,潍坊金正食品股份有限公司,,2026-07-28,
1761212,公司,中国铝罐控股有限公司,,2026-07-28,
1762105,公司,金徽酒股份有限公司,,2026-07-28,
1768271,公司,新疆汇嘉时代百货股份有限公司,,2026-07-28,
1770417,公司,淮安开发物流有限公司,,2026-07-28,
1776845,公司,杭州铁集货运股份有限公司,,2026-07-28,
1781959,公司,扬州瘦西湖旅游度假投资管理集团有限责任公司,,2026-07-28,
1783585,公司,南通光合生物技术股份有限公司,,2026-07-28,
1784328,公司,广东绿之彩科技股份有限公司,,2026-07-28,
1788423,公司,浙江圣达生物药业股份有限公司,,2026-07-28,
1792519,公司,青岛食品股份有限公司,,2026-07-28,
1793219,公司,山东百龙创园生物科技股份有限公司,,2026-07-28,
1794656,公司,广州摩登百货股份有限公司,,2026-07-28,
1794660,公司,广州南沙弘达仓储有限公司,,2026-07-28,
1797804,公司,香飘飘食品股份有限公司,,2026-07-28,
1806579,公司,湖南贵太太茶油科技股份有限公司,,2026-07-28,
1809220,公司,河南巨龙生物工程股份有限公司,,2026-07-28,
1829441,公司,洛娃科技实业集团有限公司,,2026-07-28,
1848531,公司,湖北新力大风车现代农业科技有限责任公司,,2026-07-28,
1859296,公司,深圳小田冷链物流股份有限公司,,2026-07-28,
1861705,公司,上海南翔食品股份有限公司,,2026-07-28,
1863645,公司,上海城市超市有限公司,,2026-07-28,
1865680,公司,泰州永盛包装股份有限公司,,2026-07-28,
1867990,公司,深圳市顺电连锁股份有限公司,,2026-07-28,
1868522,公司,佳禾食品工业股份有限公司,,2026-07-28,
1869906,公司,东晓生物科技股份有限公司,,2026-07-28,
1872267,公司,浙江衢州东方集团股份有限公司,,2026-07-28,
1876182,公司,大连东霖食品股份有限公司,,2026-07-28,
1880921,公司,渔阳饭店有限公司,,2026-07-28,
1881629,公司,安徽华业香料股份有限公司,,2026-07-28,
1881999,公司,北京华都饭店有限责任公司,,2026-07-28,
1882044,公司,北京金源时代购物中心有限公司,,2026-07-28,
1882339,公司,泗洪光发彩印包装有限公司,,2026-07-28,
1882798,公司,西安小六饮食(集团)股份有限公司,,2026-07-28,
1883939,公司,上海母婴之家网络科技股份有限公司,,2026-07-28,
1884858,公司,金太阳粮油股份有限公司,,2026-07-28,
1885380,公司,内蒙古赛诺种羊科技有限公司,,2026-07-28,
1885823,公司,大连华富食品有限公司,,2026-07-28,
