indunamesw,level,indunamesw1,indunamesw2,indunamesw3,indunamesw_path,raw_leaf_names,raw_paths,occurrence_count
工程机械整机,3,机械设备,工程机械,工程机械整机,机械设备 > 工程机械 > 工程机械整机,工程机械整机,机械设备 > 工程机械 > 工程机械整机,38
自动化设备,2,机械设备,自动化设备,,机械设备 > 自动化设备,自动化设备,机械设备 > 自动化设备 > 自动化设备,1
其他自动化设备,3,机械设备,自动化设备,其他自动化设备,机械设备 > 自动化设备 > 其他自动化设备,其他自动化设备,机械设备 > 自动化设备 > 其他自动化设备,54
工控设备,3,机械设备,自动化设备,工控设备,机械设备 > 自动化设备 > 工控设备,工控设备,机械设备 > 自动化设备 > 工控设备,42
机器人,3,机械设备,自动化设备,机器人,机械设备 > 自动化设备 > 机器人,机器人,机械设备 > 自动化设备 > 机器人,69
激光设备,3,机械设备,自动化设备,激光设备,机械设备 > 自动化设备 > 激光设备,激光设备,机械设备 > 自动化设备 > 激光设备,16
轨交设备,2,机械设备,轨交设备,,机械设备 > 轨交设备,轨交设备Ⅲ,机械设备 > 轨交设备Ⅱ > 轨交设备Ⅲ,103
通用设备,2,机械设备,通用设备,,机械设备 > 通用设备,通用设备,机械设备 > 通用设备 > 通用设备,90
仪器仪表,3,机械设备,通用设备,仪器仪表,机械设备 > 通用设备 > 仪器仪表,仪器仪表,机械设备 > 通用设备 > 仪器仪表,336
其他通用设备,3,机械设备,通用设备,其他通用设备,机械设备 > 通用设备 > 其他通用设备,其他通用设备,机械设备 > 通用设备 > 其他通用设备,480
制冷空调设备,3,机械设备,通用设备,制冷空调设备,机械设备 > 通用设备 > 制冷空调设备,制冷空调设备,机械设备 > 通用设备 > 制冷空调设备,78
机床工具,3,机械设备,通用设备,机床工具,机械设备 > 通用设备 > 机床工具,机床工具,机械设备 > 通用设备 > 机床工具,171
磨具磨料,3,机械设备,通用设备,磨具磨料,机械设备 > 通用设备 > 磨具磨料,磨具磨料,机械设备 > 通用设备 > 磨具磨料,22
金属制品,3,机械设备,通用设备,金属制品,机械设备 > 通用设备 > 金属制品,金属制品,机械设备 > 通用设备 > 金属制品,518
汽车,1,汽车,,,汽车,汽车,汽车 > 汽车 > 汽车,10
乘用车,2,汽车,乘用车,,汽车 > 乘用车,乘用车,汽车 > 乘用车 > 乘用车,15
电动乘用车,3,汽车,乘用车,电动乘用车,汽车 > 乘用车 > 电动乘用车,电动乘用车,汽车 > 乘用车 > 电动乘用车,20
综合乘用车,3,汽车,乘用车,综合乘用车,汽车 > 乘用车 > 综合乘用车,综合乘用车,汽车 > 乘用车 > 综合乘用车,23
商用车,2,汽车,商用车,,汽车 > 商用车,商用车,汽车 > 商用车 > 商用车,1
商用载客车,3,汽车,商用车,商用载客车,汽车 > 商用车 > 商用载客车,商用载客车,汽车 > 商用车 > 商用载客车,12
商用载货车,3,汽车,商用车,商用载货车,汽车 > 商用车 > 商用载货车,商用载货车,汽车 > 商用车 > 商用载货车,21
摩托车及其他,2,汽车,摩托车及其他,,汽车 > 摩托车及其他,摩托车及其他,汽车 > 摩托车及其他 > 摩托车及其他,2
其他运输设备,3,汽车,摩托车及其他,其他运输设备,汽车 > 摩托车及其他 > 其他运输设备,其他运输设备,汽车 > 摩托车及其他 > 其他运输设备,38
摩托车,3,汽车,摩托车及其他,摩托车,汽车 > 摩托车及其他 > 摩托车,摩托车,汽车 > 摩托车及其他 > 摩托车,15
汽车服务,2,汽车,汽车服务,,汽车 > 汽车服务,汽车服务,汽车 > 汽车服务 > 汽车服务,7
汽车经销商,3,汽车,汽车服务,汽车经销商,汽车 > 汽车服务 > 汽车经销商,汽车经销商,汽车 > 汽车服务 > 汽车经销商,67
汽车综合服务,3,汽车,汽车服务,汽车综合服务,汽车 > 汽车服务 > 汽车综合服务,汽车综合服务,汽车 > 汽车服务 > 汽车综合服务,128
汽车零部件,2,汽车,汽车零部件,,汽车 > 汽车零部件,汽车零部件,汽车 > 汽车零部件 > 汽车零部件,33
其他汽车零部件,3,汽车,汽车零部件,其他汽车零部件,汽车 > 汽车零部件 > 其他汽车零部件,其他汽车零部件,汽车 > 汽车零部件 > 其他汽车零部件,543
底盘与发动机系统,3,汽车,汽车零部件,底盘与发动机系统,汽车 > 汽车零部件 > 底盘与发动机系统,底盘与发动机系统,汽车 > 汽车零部件 > 底盘与发动机系统,142
汽车电子电气系统,3,汽车,汽车零部件,汽车电子电气系统,汽车 > 汽车零部件 > 汽车电子电气系统,汽车电子电气系统,汽车 > 汽车零部件 > 汽车电子电气系统,63
车身附件及饰件,3,汽车,汽车零部件,车身附件及饰件,汽车 > 汽车零部件 > 车身附件及饰件,车身附件及饰件,汽车 > 汽车零部件 > 车身附件及饰件,73
轮胎轮毂,3,汽车,汽车零部件,轮胎轮毂,汽车 > 汽车零部件 > 轮胎轮毂,轮胎轮毂,汽车 > 汽车零部件 > 轮胎轮毂,49
煤炭,1,煤炭,,,煤炭,煤炭,煤炭 > 煤炭 > 煤炭,5
焦炭,2,煤炭,焦炭,,煤炭 > 焦炭,焦炭Ⅲ,煤炭 > 焦炭Ⅱ > 焦炭Ⅲ,34
煤炭开采,2,煤炭,煤炭开采,,煤炭 > 煤炭开采,煤炭开采,煤炭 > 煤炭开采 > 煤炭开采,79
动力煤,3,煤炭,煤炭开采,动力煤,煤炭 > 煤炭开采 > 动力煤,动力煤,煤炭 > 煤炭开采 > 动力煤,48
焦煤,3,煤炭,煤炭开采,焦煤,煤炭 > 煤炭开采 > 焦煤,焦煤,煤炭 > 煤炭开采 > 焦煤,107
环保,1,环保,,,环保,环保,环保 > 环保 > 环保,2
环保设备,2,环保,环保设备,,环保 > 环保设备,环保设备Ⅱ|环保设备Ⅲ,环保 > 环保设备Ⅱ > 环保设备Ⅱ|环保 > 环保设备Ⅱ > 环保设备Ⅲ,296
环境治理,2,环保,环境治理,,环保 > 环境治理,环境治理,环保 > 环境治理 > 环境治理,12
固废治理,3,环保,环境治理,固废治理,环保 > 环境治理 > 固废治理,固废治理,环保 > 环境治理 > 固废治理,195
大气治理,3,环保,环境治理,大气治理,环保 > 环境治理 > 大气治理,大气治理,环保 > 环境治理 > 大气治理,43
水务及水治理,3,环保,环境治理,水务及水治理,环保 > 环境治理 > 水务及水治理,水务及水治理,环保 > 环境治理 > 水务及水治理,681
综合环境治理,3,环保,环境治理,综合环境治理,环保 > 环境治理 > 综合环境治理,综合环境治理,环保 > 环境治理 > 综合环境治理,200
电力设备,1,电力设备,,,电力设备,电力设备,电力设备 > 电力设备 > 电力设备,43
光伏设备,2,电力设备,光伏设备,,电力设备 > 光伏设备,光伏设备,电力设备 > 光伏设备 > 光伏设备,101
光伏加工设备,3,电力设备,光伏设备,光伏加工设备,电力设备 > 光伏设备 > 光伏加工设备,光伏加工设备,电力设备 > 光伏设备 > 光伏加工设备,20
光伏电池组件,3,电力设备,光伏设备,光伏电池组件,电力设备 > 光伏设备 > 光伏电池组件,光伏电池组件,电力设备 > 光伏设备 > 光伏电池组件,39
光伏辅材,3,电力设备,光伏设备,光伏辅材,电力设备 > 光伏设备 > 光伏辅材,光伏辅材,电力设备 > 光伏设备 > 光伏辅材,24
硅料硅片,3,电力设备,光伏设备,硅料硅片,电力设备 > 光伏设备 > 硅料硅片,硅料硅片,电力设备 > 光伏设备 > 硅料硅片,13
逆变器,3,电力设备,光伏设备,逆变器,电力设备 > 光伏设备 > 逆变器,逆变器,电力设备 > 光伏设备 > 逆变器,10
其他电源设备,2,电力设备,其他电源设备,,电力设备 > 其他电源设备,其他电源设备Ⅱ|其他电源设备Ⅲ,电力设备 > 其他电源设备Ⅱ > 其他电源设备Ⅱ|电力设备 > 其他电源设备Ⅱ > 其他电源设备Ⅲ,473
火电设备,3,电力设备,其他电源设备,火电设备,电力设备 > 其他电源设备 > 火电设备,火电设备,电力设备 > 其他电源设备Ⅱ > 火电设备,4
